source,target
O şiiri okurken duygulandınmı?,O şiiri okurken duygulandın mı?
Yemek yaparken yeni tarifler denemeyi severmisin?,Yemek yaparken yeni tarifler denemeyi sever misin?
Deniz her zaman bu kadarmı güzel?,Deniz her zaman bu kadar mı güzel?
Akşamları dışarı çıkmak hoşuna gidiyormu?,Akşamları dışarı çıkmak hoşuna gidiyor mu?
"İlkbahar renklimi renkli, her yan çiçek açmış.","İlkbahar renkli mi renkli, her yan çiçek açmış."
"Sonbahar hüzünlümü hüzünlü, yapraklar yavaşça düşüyor.","Sonbahar hüzünlü mü hüzünlü, yapraklar yavaşça düşüyor."
"Kitaplık dolumu dolu, yeni bir kitap için yer yok.","Kitaplık dolu mu dolu, yeni bir kitap için yer yok."
"Gece sessizmi sessiz, yaprak kımılda mıyor.","Gece sessiz mi sessiz, yaprak kımıldamıyor."
"Şarkı hüzünlümü hüzünlü, gözyaşlarımızı tutamıyoruz.","Şarkı hüzünlü mü hüzünlü, gözyaşlarımızı tutamıyoruz."
"Piknik için gideceğimiz yer belirlendimi, yoksa hala kararsızmıyız?","Piknik için gideceğimiz yer belirlendi mi, yoksa hala kararsız mıyız?"
Kitap okurken kahve eşlik etmesi şartmı?,Kitap okurken kahve eşlik etmesi şart mı?
Bahçedeki çiçekler ne zaman açtı?,Bahçedeki çiçekler ne zaman açtı?
"Gece kamp kuracakmıyız, yoksa otelmi tercih edeceğiz?","Gece kamp kuracak mıyız, yoksa otel mi tercih edeceğiz?"
"Müzik ritmikmi ritmik, ayaklarım kendiliğinden dans ediyor.","Müzik ritmik mi ritmik, ayaklarım kendiliğinden dans ediyor."
"Deniz soğukmu soğuk, ayaklarımızı bile sokmak istemeyiz.","Deniz soğuk mu soğuk, ayaklarımızı bile sokmak istemeyiz."
"Pasta tatlımı tatlı, şekerimiz fırlayacak neredeyse.","Pasta tatlı mı tatlı, şekerimiz fırlayacak neredeyse."
"Gelecek hafta sonu için hava tahminleri güncellendimi, yoksa hala değişkenmi?","Gelecek hafta sonu için hava tahminleri güncellendi mi, yoksa hala değişken mi?"
"Oyun heyecanlımı heyecanlı, kalbim duracak gibi.","Oyun heyecanlı mı heyecanlı, kalbim duracak gibi."
Müzik dinlerken genellikle ne tür şarkılar seçersin?,Müzik dinlerken genellikle ne tür şarkılar seçersin?
Yıldızları izlerken kendini kaybediyormusun?,Yıldızları izlerken kendini kaybediyor musun?
"Bahçe yeşilmi yeşil, her köşesi ayrı bir cennet.","Bahçe yeşil mi yeşil, her köşesi ayrı bir cennet."
"Günümüzde elektronik postalar ve anlık mesajlarla iletişim kurmak çokmu kolay, bu yüzdenmi gerçek bağlantıları kurmakta zorlanıyoruz, insanlar arasındaki samimiyet azaldımı sence de?","Günümüzde elektronik postalar ve anlık mesajlarla iletişim kurmak çok mu kolay, bu yüzden mi gerçek bağlantıları kurmakta zorlanıyoruz, insanlar arasındaki samimiyet azaldı mı sence de?"
"Manzara güzelmi güzel, fotoğraflamadan edemeyiz.","Manzara güzel mi güzel, fotoğraflamadan edemeyiz."
"Çocuklar mutlumu mutlu, parkta koşturup duruyorlar.","Çocuklar mutlu mu mutlu, parkta koşturup duruyorlar."
"Araba yolculuğu için kimin arabasını kullanacağımıza karar verdikmi, yoksa hala tartışmamı içindeyiz?","Araba yolculuğu için kimin arabasını kullanacağımıza karar verdik mi, yoksa hala tartışma mı içindeyiz?"
Arkadaşlarınla vakit geçirmek seni mutlu edermi?,Arkadaşlarınla vakit geçirmek seni mutlu eder mi?
"Sabah kahvaltı için ne yiyeceğimize karar verdikmi, yoksa spontanemi karar vereceğiz?","Sabah kahvaltı için ne yiyeceğimize karar verdik mi, yoksa spontane mi karar vereceğiz?"
"Hava sıcakmı sıcak, serin bir gölge aramak lazım!","Hava sıcak mı sıcak, serin bir gölge aramak lazım!"
Kahve içmek günün en güzel anımı?,Kahve içmek günün en güzel anı mı?
Bu fil mi izlerken gözyaşlarını tutabildinmi?,Bu filmi izlerken gözyaşlarını tutabildin mi?
Yeni telefonun beklentilerini karşılıyormu?,Yeni telefonun beklentilerini karşılıyor mu?
"Hava kararınca ateş yakıp etrafında oturmayı planladıkmı, yoksa başka bir aktivitemi düşünüyoruz?","Hava kararınca ateş yakıp etrafında oturmayı planladık mı, yoksa başka bir aktivite mi düşünüyoruz?"
"Teknoloji ilerledikçe, doğaya dönmek, ormanlarda yürüyüş yapmak, denizin kenarında oturmak, daha çokmu anlam kazanıyor, insan ruhu aslında sakinlik ve huzurmu arıyor?","Teknoloji ilerledikçe, doğaya dönmek, ormanlarda yürüyüş yapmak, denizin kenarında oturmak, daha çok mu anlam kazanıyor, insan ruhu aslında sakinlik ve huzur mu arıyor?"
Hafta sonları ne yapmayı tercih edersin?,Hafta sonları ne yapmayı tercih edersin?
Resim yaparken renklerle oynamaktan hoşlanırmısın?,Resim yaparken renklerle oynamaktan hoşlanır mısın?
"Geri dönerken trafik olacakmı, yoksa rahatmı bir yolculuk yapacağız?","Geri dönerken trafik olacak mı, yoksa rahat mı bir yolculuk yapacağız?"
"Kış soğukmu soğuk, evden çıkmak istemezsin.","Kış soğuk mu soğuk, evden çıkmak istemezsin."
Yeni açılan kafeyi sen de beğendinmi?,Yeni açılan kafeyi sen de beğendin mi?
"Kahve demlendimi, bir fincanın keyfine varırız.","Kahve demlendi mi, bir fincanın keyfine varırız."
"Varış noktasına vardığımızda herkesin keyfi yerindemi, yoksa yorgunmu?","Varış noktasına vardığımızda herkesin keyfi yerinde mi, yoksa yorgun mu?"
"Gece çokmu geç oldu, gökyüzüne bakıp yıldızları saymak için sessizce dışarı çıktınmı, etraf bu kadar sessizken içinde bir huzurmu buluyorsun, yoksa yalnızlıkmı hissediyorsun?","Gece çok mu geç oldu, gökyüzüne bakıp yıldızları saymak için sessizce dışarı çıktın mı, etraf bu kadar sessizken içinde bir huzur mu buluyorsun, yoksa yalnızlık mı hissediyorsun?"
"Yol uzunmu uzun, gitmek gitmek bit miyor.","Yol uzun mu uzun, gitmek gitmek bitmiyor."
"Şehir hayatının koşuşturması, stresi, gürültüsü seni de bunaltıyormu, arada sırada kırsal kesimde bir kaçamak yapmak, temiz hava almak, yıldızların altında bir gece geçirmek, içindeki huzuru yenidenmi bulmana yardımcı oluyor?","Şehir hayatının koşuşturması, stresi, gürültüsü seni de bunaltıyor mu, arada sırada kırsal kesimde bir kaçamak yapmak, temiz hava almak, yıldızların altında bir gece geçirmek, içindeki huzuru yeniden mi bulmana yardımcı oluyor?"
